Company Name,Website,Email,Phone,Source URL
Algi AI,https://algi.ai,"london@algi.ai, algi@algi.ai",Not Found,https://turkiye.ai/portfolio/algi-ai/
ALGOFACT,https://algofact.tech,info@algofact.tech,"+90 850 226 93 10, +90 532 379 62 64",https://turkiye.ai/portfolio/algofact/
Algopoly,https://www.algopoly.com,contact@alpopoly.com,Not Found,https://turkiye.ai/portfolio/algopoly/
Alphabots Robotik,https://www.alphabots.de/,"Info@alphabots.de, 089-44218037info@alphabots.de, 44218037info@alphabots.de",Not Found,https://turkiye.ai/portfolio/alphabots-robotik/
Alterna CX,https://alternacx.com,Not Found,Not Found,https://turkiye.ai/portfolio/alterna-cx/
Ambeent,https://www.ambeent.ai,Not Found,Not Found,https://turkiye.ai/portfolio/ambeent/
Anatolian Technologies,https://anatoliantechnologies.com,hi@anatoliantechnologies.com,+90 542 561 4780,https://turkiye.ai/portfolio/anatolian-technologies/
Aneta Yazılım ve Danışmanlık A.Ş.,https://www.aneta.tr,Not Found,+90 850 304 07 75,https://turkiye.ai/portfolio/aneta-yazilim-ve-danismanlik-a-s/
Apollo IoT,https://www.apolloiot.com/,Not Found,Not Found,https://turkiye.ai/portfolio/apollo-iot/
Apollon Engine,https://apollonengine.com,Not Found,Not Found,https://turkiye.ai/portfolio/apollon-engine/
ARCANOR,https://www.arcanor.com,Not Found,Not Found,https://turkiye.ai/portfolio/arcanor/
Archade AI,https://archade.ai,,,https://turkiye.ai/portfolio/archade-ai/
Arche Robotics,https://archerobotics.com/,"UsEmailinfo@archerobotics.comSign, Istanbul.Emailinfo@archerobotics.comAI",Not Found,https://turkiye.ai/portfolio/arche-robotics/
AREYLight AI Solutions,https://areylight.com,connect@areytech.com,0 800 255 22 55,https://turkiye.ai/portfolio/areylight-ai-solutions/
ArgosAI,https://www.argosai.com,Not Found,Not Found,https://turkiye.ai/portfolio/argosai/
Artifeye,http://www.artifeye.com/?utm_source=turkiye-ai&utm_medium=referral,info@artifeye.com,Not Found,https://turkiye.ai/portfolio/artifeye/
Artifica,https://artifica.io,,,https://turkiye.ai/portfolio/artifica/
Artiwise,https://www.artiwise.com/,Not Found,Not Found,https://turkiye.ai/portfolio/artiwise/
artlabs,https://artlabs.ai/,Not Found,Not Found,https://turkiye.ai/portfolio/artlabs/
Arventek,https://www.arventek.com/,,,https://turkiye.ai/portfolio/arventek/
Arvis,https://www.arvis.com.tr,,,https://turkiye.ai/portfolio/arvis/
ATLAS Robotik,https://www.atlas-robotics.com/,emailinfo@atlas-robotics.com,Not Found,https://turkiye.ai/portfolio/atlas-robotik/
Augelab,https://www.augelab.com,Not Found,Not Found,https://turkiye.ai/portfolio/augelab/
Augmency Teknoloji Sanayi A.Ş.,https://www.augmency.com,info@augmency.com,Not Found,https://turkiye.ai/portfolio/augmency-teknoloji-sanayi-a-s/
AureliaX,https://www.aureliax.co,Not Found,Not Found,https://turkiye.ai/portfolio/aureliax/
AUSTRIACARD,https://actdijital.com/cozumlerimiz/gaiab,"info@austriacard.com.tr, kariyer@austriacard.com.tr, sales@austriacard.com.tr",Not Found,https://turkiye.ai/portfolio/austriacard/
AUTOCHECKOUT,https://www.ai-checkout.net/%20,,,https://turkiye.ai/portfolio/autocheckout/
AVX Reality Teknoloji AŞ,https://avxreality.com,Not Found,Not Found,https://turkiye.ai/portfolio/avx-reality-teknoloji-as/
Ayvos,https://www.ayvos.com,Not Found,Not Found,https://turkiye.ai/portfolio/ayvos/
B2 yazılım,http://b2yazilim.com,info@b2yazilim.com,0 850 885 05 04,https://turkiye.ai/portfolio/b2-yazilim-2/
B2METRIC AI,https://www.b2metric.com,Not Found,01002003004,https://turkiye.ai/portfolio/b2metric-ai/
Bait Cyber Technology,,No Website,No Website,https://turkiye.ai/portfolio/bait-cyber-technology/
Base64.ai,https://base64.ai,Not Found,Not Found,https://turkiye.ai/portfolio/base64-ai/
Bee2 AI,https://bee2.ai/,Not Found,+90 553 778 54 20,https://turkiye.ai/portfolio/bee2-ai/
BeforeSunset AI,https://www.beforesunset.ai/,Not Found,Not Found,https://turkiye.ai/portfolio/beforesunset-ai/
Beynex,https://beynex.com/,EmailEmailEmailinfo@beynex.comName,Not Found,https://turkiye.ai/portfolio/beynex/
Bimetri,https://www.bimetri.com,Not Found,Not Found,https://turkiye.ai/portfolio/bimetri/
Bluearf,https://bluearf.com/?utm_source=turkiye-ai&utm_medium=referral,,,https://turkiye.ai/portfolio/bluearf/
BLUEIT,https://www.blueitfuture.com,info@blueitfuture.com,Not Found,https://turkiye.ai/portfolio/blueit/
Bluesense,https://www.bluesense.ai/,info@bluesense.ai,+90 505 066 7315,https://turkiye.ai/portfolio/bluesense/
BoardMeAI,https://www.boardmeai.com,mesiLinkedIninfo@boardmeai.comKu,Not Found,https://turkiye.ai/portfolio/boardmeai/
Bomensoft,https://bomensoft.com,Not Found,+905443536442,https://turkiye.ai/portfolio/bomensoft/
Bon Intelligence,https://www.bonintel.com/,Not Found,Not Found,https://turkiye.ai/portfolio/bon-intelligence/
Bootmaster.io,https://botmaster.io,Not Found,Not Found,https://turkiye.ai/portfolio/bootmaster-io/
Bottobo Robotics,https://www.bottobo.com/,callme@bottobo.com,Not Found,https://turkiye.ai/portfolio/bottobo-robotics/
Bridge-soft,https://www.bridge-soft.com,info@bridgesoft.com.tr,+90 542 621 7824,https://turkiye.ai/portfolio/bridge-soft/
Buck.ai,https://buck.ai,Not Found,Not Found,https://turkiye.ai/portfolio/buck-ai/
Buluttan,https://www.buluttan.com/,STANBULcontact@buluttanwx.comCopyright,Not Found,https://turkiye.ai/portfolio/buluttan/
Callyby AI,https://www.callby.ai,Not Found,Not Found,https://turkiye.ai/portfolio/callyby-ai/
CAPOOM,https://www.capoom.com,Not Found,Not Found,https://turkiye.ai/portfolio/capoom/
Catchit,http://catchit.io/,Not Found,Not Found,https://turkiye.ai/portfolio/catchit/
CCB,https://ccb-ai.com/,Touchinfo@ccb-ai.com,Not Found,https://turkiye.ai/portfolio/ccb/
Cloniex AI,https://cloniex.com,Not Found,Not Found,https://turkiye.ai/portfolio/cloniex-ai/
Co-one,https://co-one.co,CONTACTinfo@co-one.coTallinn,Not Found,https://turkiye.ai/portfolio/co-one/
Cognipeer,https://www.cognipeer.com/?utm_source=turkiye-ai&utm_medium=referral,hello@cognipeer.com,Not Found,https://turkiye.ai/portfolio/cognipeer/
Cognitio Intelligence,https://www.cognitioi.com,Not Found,Not Found,https://turkiye.ai/portfolio/cognitio-intelligence/
Cognitiwe,https://cognitiwe.ai/,info@cognitiwe.com,Not Found,https://turkiye.ai/portfolio/cognitiwe/
Complizen,http://complizen.ai/?utm_source=turkiye-ai&utm_medium=referral,info@complizen.ai,Not Found,https://turkiye.ai/portfolio/complizen/
Consciouslab,https://consciouslab.io,hello@consciouslab.io,Not Found,https://turkiye.ai/portfolio/consciouslab/
ContentGo,https://contentgo.ai/?utm_source=turkiye-ai&utm_medium=referral,Not Found,Not Found,https://turkiye.ai/portfolio/contentgo/
Coredinat,https://www.coredinat.com,Not Found,0850 307 73 87,https://turkiye.ai/portfolio/coredinat/
Corpowid,https://www.corpowid.ai,Not Found,+90 542 575 0743,https://turkiye.ai/portfolio/corpowid/
Cosure,https://cosure.co,info@cosure.co,Not Found,https://turkiye.ai/portfolio/cosure/
Counterfake,https://counterfake.ai,real-time.info@counterfake.aiFollow,Not Found,https://turkiye.ai/portfolio/counterfake/
Crait AI,https://www.crait.it,Ushey@crait.itEmpowering,Not Found,https://turkiye.ai/portfolio/crait-ai/
CranioCatch,https://www.craniocatch.com/,info@craniocatch.com,0 312 905 08 21,https://turkiye.ai/portfolio/craniocatch/
Crede,https://crededata.com,info@crede.com.tr,+90 212 988 1918,https://turkiye.ai/portfolio/crede/
Crenno,https://www.crenno.com,Not Found,Not Found,https://turkiye.ai/portfolio/crenno/
Crossfirelab Yazılım,https://www.crossfirelab.com/,Not Found,Not Found,https://turkiye.ai/portfolio/crossfirelab-yazilim/
Curiosity Tech,https://curiosity.tech/,Not Found,Not Found,https://turkiye.ai/portfolio/curiosity-tech/
CY Vision,https://cyvision.com/,Not Found,Not Found,https://turkiye.ai/portfolio/cy-vision/
DataFirst Bilişim Hizmetleri,https://datafirst.store/,Not Found,+90 530 832 8186,https://turkiye.ai/portfolio/datafirst-bilisim-hizmetleri/
Datafors,https://datafors.com/,"info@datafors.com, ankara@datafors.com",Not Found,https://turkiye.ai/portfolio/datafors/
Dataguess Teknoloji,https://www.dataguess.com/,Usinfo@dataguess.comsales,+90 216 912 1636,https://turkiye.ai/portfolio/dataguess-teknoloji/
datamode,https://linkedin.com/company/datamode-ai/,Not Found,Not Found,https://turkiye.ai/portfolio/datamode/
Datasance,https://www.datasance.com/,contact@datasance.com,Not Found,https://turkiye.ai/portfolio/datasance/
Datateam,https://www.datateam.com.tr/,info@datateam.com.tr,+90 312 227 52 22,https://turkiye.ai/portfolio/datateam/
DBTalk,https://www.geobilgi.com/tr/home?utm_source=turkiye-ai&utm_medium=referral,,,https://turkiye.ai/portfolio/dbtalk/
Dcipher Analytics,https://dcipheranalytics.com/,info@dcipheranalytics.com,Not Found,https://turkiye.ai/portfolio/dcipher-analytics/
De Jure AI,https://www.dejure.ai/,Not Found,Not Found,https://turkiye.ai/portfolio/de-jure-ai/
Decktopus,https://www.decktopus.com/,you.info@decktopus.com,Not Found,https://turkiye.ai/portfolio/decktopus/
Deep Cloud Labs,https://www.deepcloudlabs.com,info@deepcloudlabs.com,+90 850 259 2444,https://turkiye.ai/portfolio/deep-cloud-labs/
Deepin,https://deepin.market/,support@deepin.market,0232 373 55 11,https://turkiye.ai/portfolio/deepin/
Deepsport,https://deepsportapp.com,zE-postainfo@deepsport.appGenel,+90 534 637 32 06,https://turkiye.ai/portfolio/deepsport/
Deepware - Zemana,https://deepware.ai,Not Found,Not Found,https://turkiye.ai/portfolio/deepware-zemana/
DefansX Labs,https://defansxlabs.com/en/home,info@defansxlabs.com,Not Found,https://turkiye.ai/portfolio/defansx-labs/
Delivers AI,https://delivers.ai/,Englandinfo@delivers.aiOur,Not Found,https://turkiye.ai/portfolio/delivers-ai/
DelphiSonic,https://delphisonic.com,Not Found,Not Found,https://turkiye.ai/portfolio/delphisonic/
DeltaWave,https://www.deltawave.fr/,Not Found,Not Found,https://turkiye.ai/portfolio/deltawave/
Diatics,https://diatics.com/,Not Found,Not Found,https://turkiye.ai/portfolio/diatics/
Diattack,https://www.diattack.com,Not Found,Not Found,https://turkiye.ai/portfolio/diattack/
DigiNova,https://diginova.com.tr,info@diginova.com.tr,Not Found,https://turkiye.ai/portfolio/diginova/
Distant tech,https://www.distanttech.com,UseContactcontact@distanttech.com,Not Found,https://turkiye.ai/portfolio/distant-tech/
Docyrus,https://docyrus.com/?utm_source=turkiye-ai&utm_medium=referral,Not Found,Not Found,https://turkiye.ai/portfolio/docyrus/
DRING AI,https://dring.ai/,Not Found,+90 212 945 33 16,https://turkiye.ai/portfolio/dring-ai/
DTEC Asistan,https://dtec.app/,45info@dtec.app,Not Found,https://turkiye.ai/portfolio/dtec-asistan/
DuoSoft Yazılım Danışmanlık,https://www.duosoft.co,3109merhaba@duosoft.coT,Not Found,https://turkiye.ai/portfolio/duosoft-yazilim-danismanlik/
E-Dison AI,,No Website,No Website,https://turkiye.ai/portfolio/e-dison-ai/
Eatron,https://eatron.com,,,https://turkiye.ai/portfolio/eatron/
Ecl.one,https://www.ecl.one,,,https://turkiye.ai/portfolio/ecl-one/
Eluvium,https://eluvium.ai/,support@eluvium.ai,Not Found,https://turkiye.ai/portfolio/eluvium/
Empa,https://empa.com/,bilgi@empa.com,0212 465 71 99,https://turkiye.ai/portfolio/empa/
Enhencer,https://enhencer.com,"Turkeyhello@enhencer.comUSA, 8503hello@enhencer.comContact",Not Found,https://turkiye.ai/portfolio/enhencer/
Enlighty.AI,https://enlighty.ai,Not Found,Not Found,https://turkiye.ai/portfolio/enlighty-ai/
ERG Controls - YIKA,https://ergcontrols.net/,info@ergcontrols.net,Not Found,https://turkiye.ai/portfolio/erg-controls-yika/
Eventgates,https://www.eventgates.com,Not Found,Not Found,https://turkiye.ai/portfolio/eventgates/
Exairon,https://exairon.com,info@exairon.com,+90 212 963 04 45,https://turkiye.ai/portfolio/exairon/
Excury,,No Website,No Website,https://turkiye.ai/portfolio/excury/
ExperteasAI,https://experteaseai.com/,Not Found,Not Found,https://turkiye.ai/portfolio/experteasai/
Eye Checkup,https://www.eye-checkup.com,info@eye-checkup.com,Not Found,https://turkiye.ai/portfolio/eye-checkup/
Eyedius,https://eyedius.com,info@eyedius.com,+90 212 567 0393,https://turkiye.ai/portfolio/eyedius/
F-RAY,https://jetscoring.com/,Not Found,Not Found,https://turkiye.ai/portfolio/f-ray/
Faladdin,https://www.faladdin.com/,,,https://turkiye.ai/portfolio/faladdin/
Farmlabs Tarım Teknolojileri ve Arge A.Ş.,https://www.farmlabs.io,info@farmlabs.io,+90 540 688 44  44,https://turkiye.ai/portfolio/farmlabs-tarim-teknolojileri-ve-arge-a-s/
Fieldscope,https://fieldscope.io,info@fieldscope.io,Not Found,https://turkiye.ai/portfolio/fieldscope/
Filika,https://filika.co/,"filikayazilim.1@hs01.kep.tr, info@filika.co",03871374978,https://turkiye.ai/portfolio/filika/
FINSMART AI,https://www.finsmart.ai,Not Found,Not Found,https://turkiye.ai/portfolio/finsmart-ai/
Fizix,https://fizix.ai/en/,,,https://turkiye.ai/portfolio/fizix/
From Your Eyes,https://fromyoureyes.app/,Not Found,Not Found,https://turkiye.ai/portfolio/from-your-eyes/
GenAIus Technologies,https://genaius.tech/,Not Found,Not Found,https://turkiye.ai/portfolio/genaius-technologies/
GenRPA,https://genrpa.com/,Not Found,Not Found,https://turkiye.ai/portfolio/genrpa/
Gitek Vision,https://www.gitekvision.com,info@gitekvision.com,+905534442664,https://turkiye.ai/portfolio/gitek-vision/
Glosa,http://glosa.ai/,Not Found,Not Found,https://turkiye.ai/portfolio/glosa/
GÖRSENTAM TARIM TEKNOLOJİLERİ,https://www.gorsentam.com,info@gorsentam.com,+905367477298,https://turkiye.ai/portfolio/gorsentam-tarim-teknolojileri/
Grispi,https://www.grispi.com,Not Found,"0232 326 38 40, 0850 777 17 07",https://turkiye.ai/portfolio/grispi/
Gurubase,https://gurubase.io/,Not Found,Not Found,https://turkiye.ai/portfolio/gurubase/
Healysense AS,,No Website,No Website,https://turkiye.ai/portfolio/healysense-as/
Hero,,No Website,No Website,https://turkiye.ai/portfolio/hero/
HeviAI,https://hevi.ai,"support@hevi.ai, info@hevi.ai",+90 850 473 0321,https://turkiye.ai/portfolio/heviai/
heybooster,https://www.heybooster.ai/,4EGhey@heybooster.aiLivechatResourcesRead,Not Found,https://turkiye.ai/portfolio/heybooster/
Hiddenslate,https://hiddenslate.com,hello@hiddenslate.com,+90 507 816 43 03,https://turkiye.ai/portfolio/hiddenslate/
hippist AI,https://www.hippist.com,Not Found,Not Found,https://turkiye.ai/portfolio/hippist-ai/
Hirex,,No Website,No Website,https://turkiye.ai/portfolio/hirex/
Hirize,https://hirize.hr/,Not Found,Not Found,https://turkiye.ai/portfolio/hirize/
Homster,https://homster.com/,Demoinfo@homster.com,Not Found,https://turkiye.ai/portfolio/homster/
Hummingdrone,https://hummingdrone.co/,hello@hummingdrone.co,+905434641956,https://turkiye.ai/portfolio/hummingdrone/
Hybrone A.Ş.,https://hybrone.com/?utm_source=turkiye-ai&utm_medium=referral,info@hybrone.com,Not Found,https://turkiye.ai/portfolio/hybrone-a-s/
Indoor 5.0,https://indoor50.com,destek@indoor50.com,Not Found,https://turkiye.ai/portfolio/indoor-5-0/
Ingosa,https://ingosa.ai/,Not Found,Not Found,https://turkiye.ai/portfolio/ingosa/
Inovako,https://inovako.com,Not Found,Not Found,https://turkiye.ai/portfolio/inovako/
inpocket.ai,https://www.inpocket.ai/,contact@inpocket.ai,+90 538 399 45 22,https://turkiye.ai/portfolio/inpocket-ai/
Integrio,https://integrio.io,INinfo@integrio.ioRe,Not Found,https://turkiye.ai/portfolio/integrio/
Intelivus,https://www.paperwork.com.tr/,"sales@paperworkbpm.com, satis@paperwork.com.tr",+90 216 384 0751,https://turkiye.ai/portfolio/intelivus/
Intenseye,https://www.intenseye.com,"intenseye.comPartnershipspartners@intenseye.comInterested, Successsuccess@intenseye.comGeneral, Mediapress@intenseye.comSalessales, UsCareerscareers@intenseye.comView, Inquiriesinfo@intenseye.comLegallegal, Supportsupport@intenseye.comGet",Not Found,https://turkiye.ai/portfolio/intenseye/
IntervAI,,No Website,No Website,https://turkiye.ai/portfolio/intervai/
IWRobotx,https://www.iwrobotx.com,info@iwrobotx.com,Not Found,https://turkiye.ai/portfolio/iwrobotx/
iyiMetal,http://iyimetal.com/,provide.inquires@iyimetal.comGet,Not Found,https://turkiye.ai/portfolio/iyimetal/
Jelibot,https://www.jelibot.com/,Not Found,Not Found,https://turkiye.ai/portfolio/jelibot/
JetLink,https://www.jetlink.io,Not Found,Not Found,https://turkiye.ai/portfolio/jetlink/
Juphy,https://juphy.com/,Not Found,Not Found,https://turkiye.ai/portfolio/juphy/
Kampania,,No Website,No Website,https://turkiye.ai/portfolio/kampania/
Kavaken,https://www.kavaken.com,contact@kavaken.comHomeAboutBlogResourcesSchedule,Not Found,https://turkiye.ai/portfolio/kavaken/
Khenda,https://www.khenda.com/,Policyinfo@khenda.combottom,Not Found,https://turkiye.ai/portfolio/khenda/
Kimola,https://kimola.com,Not Found,Not Found,https://turkiye.ai/portfolio/kimola/
Klassifier,https://klassifier.com/,Not Found,Not Found,https://turkiye.ai/portfolio/klassifier/
Klok Medya,http://klokist.com/?utm_source=turkiye-ai&utm_medium=referral,hello@klokist.com,Not Found,https://turkiye.ai/portfolio/klok-medya/
Kognitek,https://www.kognitek.com.tr,info@kognitek.com.tr,Not Found,https://turkiye.ai/portfolio/kognitek/
Konzek,https://www.konzek.com,Minfo@konzek.com,Not Found,https://turkiye.ai/portfolio/konzek/
Kozalak,https://nowildfire.com,Not Found,Not Found,https://turkiye.ai/portfolio/kozalak-forestguard/
Kronnika,https://kronnika.com/tr/anasayfa,Not Found,+90 216 709 5914,https://turkiye.ai/portfolio/kronnika/
Kuasar Video,https://kuasarvideo.com/,,,https://turkiye.ai/portfolio/kuasar-video/
Lacitek,https://www.lacitek.com,Not Found,+90 850 346 5228,https://turkiye.ai/portfolio/lacitek/
Lagom,https://www.lagom.ai/,Not Found,Not Found,https://turkiye.ai/portfolio/lagom/
Le Chatbot,https://lechatbot.com,,,https://turkiye.ai/portfolio/le-chatbot/
Leagle,https://www.leagleapp.com,"info@leagleapp.com, Sorularinfo@leagleapp.com",+90 546 588 58 44,https://turkiye.ai/portfolio/leagle/
Leo Drive,https://leodrive.ai,leo@leodrive.ai,Not Found,https://turkiye.ai/portfolio/leo-drive/
Lifemote,https://lifemote.com/,Not Found,Not Found,https://turkiye.ai/portfolio/lifemote/
Link Robotik,https://www.linkrobotik.com,info@linkrobotics.tech,"+90 216 386 58 27, +90 216 386 58 27",https://turkiye.ai/portfolio/link-robotik/
Logica Blue,,No Website,No Website,https://turkiye.ai/portfolio/logica-blue/
Lugath,https://www.lugath.com/,Not Found,Not Found,https://turkiye.ai/portfolio/lugath/
Lumian,https://lumian.energy/tr,"0929hello@digiterra.aiBar, hello@digiterra.ai.What",Not Found,https://turkiye.ai/portfolio/lumian/
Lumnion,https://lumnion.com,Not Found,Not Found,https://turkiye.ai/portfolio/lumnion/
Machinetutors,https://www.machinetutors.com,contact@machinetutors.com,Not Found,https://turkiye.ai/portfolio/machinetutors/
Madlen,,No Website,No Website,https://turkiye.ai/portfolio/madlen/
MAESTROHUB YAZILIM ANONİM ŞİRKETİ,https://maestrohub.com/,Not Found,Not Found,https://turkiye.ai/portfolio/maestrohub-yazilim-anonim-sirketi/
Magnus,https://getmagnus.com/,info@getmagnus.com,+90 850 308 60 12,https://turkiye.ai/portfolio/magnus/
MamHighTech Mühendislik,https://www.mamhightech.com,info@mamhightech.com,"+90 542 827 15 25, +90 554 490 19 86",https://turkiye.ai/portfolio/mamhightech-muhendislik/
MAMOSİS SAGLIK YAZILIMLARI ANONIM SIRKETI,https://mamosis.com/,info@mamosis.com,Not Found,https://turkiye.ai/portfolio/mamosis-saglik-yazilimlari-anonim-sirketi/
MAP360,https://www.map360.world/,"thaneinfo@map360.worldNeed, 7NJlondon@map360.worldIstanbulYe",Not Found,https://turkiye.ai/portfolio/map360/
Masraff,https://www.masraff.co,info@masraff.co,0 546 627 72 36,https://turkiye.ai/portfolio/masraff/
Mechanica,https://www.mechanicairev.com,"info@forgexindustry.co.uk, info@mechanicaai.com",+902322905551,https://turkiye.ai/portfolio/mechanica/
MediTechLabs,https://www.meditechlabs.ai,Not Found,Not Found,https://turkiye.ai/portfolio/meditechlabs/
Meetgate,https://meetgate.ai/,Not Found,+90 530 414 91 40,https://turkiye.ai/portfolio/meetgate/
Meganova,https://www.meganova.com.tr,"info@meganova.com.tr, info@meganova.se",+90 544 2180506,https://turkiye.ai/portfolio/meganova/
Merchant Insight,https://merchantinsight.io,info@merchantinsight.io,Not Found,https://turkiye.ai/portfolio/merchant-insight/
Meshine Tech,https://www.meshine.tech/tr/,,,https://turkiye.ai/portfolio/meshine-tech/
Metisbot,https://www.metisbot.com.tr,Not Found,Not Found,https://turkiye.ai/portfolio/metisbot/
Miletos,https://www.miletos.co,Not Found,Not Found,https://turkiye.ai/portfolio/miletos/
Mina Yapay Zeka Çözümleri,,No Website,No Website,https://turkiye.ai/portfolio/mina-yapay-zeka-cozumleri/
Mirage Vision,https://www.mirage.vision/,Not Found,Not Found,https://turkiye.ai/portfolio/mirage-vision/
Moledro Yazılım,https://www.moledro.com.tr/?utm_source=turkiye-ai&utm_medium=referral,info@moledro.com.tr,+90 346 2171678,https://turkiye.ai/portfolio/moledro-yazilim/
Mono Analytics,https://monoanalytics.com,,,https://turkiye.ai/portfolio/monoanalytics/
Monopayments,https://monopayments.com,Not Found,Not Found,https://turkiye.ai/portfolio/monopayments/
Monospect,https://monospect.com,info@monospect.com,Not Found,https://turkiye.ai/portfolio/monospect/
Monument,https://getmonument.com,Not Found,Not Found,https://turkiye.ai/portfolio/monument/
Moobi,https://moobi.com.tr,"Usinfo@moobi.com.trFind, Touchinfo@moobi.com.tr",+90 312 466 56 50,https://turkiye.ai/portfolio/moobi/
Moveon,https://www.moveon.ai,Not Found,Not Found,https://turkiye.ai/portfolio/moveon/
Myth.Ai,https://www.myth-ai.com,Not Found,Not Found,https://turkiye.ai/portfolio/myth-ai/
Nava,https://appnava.com,Not Found,Not Found,https://turkiye.ai/portfolio/nava/
Needle,https://needle-ai.com/,"acme.comEditorActiveMCmike.chen@acme.comViewerActiveLRlisa.rodriguez, userEMAILROLESTATUSBAbrian.adams@acme.comOwnerActiveSJsarah.johnson",Not Found,https://turkiye.ai/portfolio/needle/
NeoOne,https://www.neocortex.com.tr/?utm_source=turkiye-ai&utm_medium=referral,Not Found,Not Found,https://turkiye.ai/portfolio/neoone/
Nerodata,https://nerodata.com/tr,Not Found,Not Found,https://turkiye.ai/portfolio/nerodata/
Nexgene AI,https://nexgene.ai,Not Found,Not Found,https://turkiye.ai/portfolio/nexgene-ai/
Nexizon,https://www.nexizon.com.tr/,,,https://turkiye.ai/portfolio/nexizon/
Next AI,https://nextveri.com/,Not Found,Not Found,https://turkiye.ai/portfolio/next-ai/
Next Geo,https://nextgeography.com/,Not Found,Not Found,https://turkiye.ai/portfolio/next-geo/
NisusAI,https://nisus-ai.com/en,info@nisusai.comPhone,Not Found,https://turkiye.ai/portfolio/nisusai/
North Tech,https://www.northtech.ai/,Not Found,Not Found,https://turkiye.ai/portfolio/north-tech/
Novadsa,https://www.novadsa.com,53info@novadsa.comT,+90 212 245 30 53,https://turkiye.ai/portfolio/novadsa/
NOVADSA BİLİŞİM TEKNOLOJİLERİ A.Ş.,https://www.novadsa.com,53info@novadsa.comT,+90 212 245 30 53,https://turkiye.ai/portfolio/novadsa-bilisim-teknolojileri-a-s/
Novaforge,https://www.novaforge.tech,dilan.kurt@novaforge.tech,+90 530 390 21 87,https://turkiye.ai/portfolio/novaforge/
Novus Technologies,https://www.novusasi.com/,Not Found,Not Found,https://turkiye.ai/portfolio/novus-technologies/
Octai,https://octai.com/,,,https://turkiye.ai/portfolio/octai/
OctaPull,https://octapull.com/,Not Found,+90 533 595 10 04,https://turkiye.ai/portfolio/octapull/
Octo,https://www.getocto.com/,stanbulinfo@getocto.comGet,Not Found,https://turkiye.ai/portfolio/octo/
Ollang,https://www.ollang.com,SupportFAQAddressinfo@ollang.com,Not Found,https://turkiye.ai/portfolio/ollang/
Oneriver,https://www.oneriver.co,info@oneriver.cohttps,Not Found,https://turkiye.ai/portfolio/oneriver/
Onicorn,https://www.onicorn.com.tr,info@onicorn.com.tr,+90 212 286 00 30,https://turkiye.ai/portfolio/onicorn/
ONO,https://onenewone.com/,info@onenewone.com,Not Found,https://turkiye.ai/portfolio/ono/
Optiwisdom,https://optiwisdom.com,MoreE-mailoptiwisdom@optiwisdom.comAddressPO,Not Found,https://turkiye.ai/portfolio/optiwisdom/
Optiyol,https://www.optiyol.com,info@optiyol.com,+90 312 486 03 36,https://turkiye.ai/portfolio/optiyol-2/
